VARIABLE_NAME;VARIABLE_LABEL
eval_infmeta;Q12: Importance of information to evaluate data: detailed metadata and documentation
eval_infsize;Q12: Importance of information to evaluate data: size
eval_inffrmt;Q12: Importance of information to evaluate data: format
eval_inflic;Q12: Importance of information to evaluate data: licensing conditions
eval_infcovg;Q12: Importance of information to evaluate data: correct coverage
eval_infpurps;Q12: Importance of information to evaluate data: original purpose
eval_infaccs;Q12: Importance of information to evaluate data: ease of access
eval_inftopic;Q12: Importance of information to evaluate data: topic relevance
eval_infopen;Q12_open: Importance of information to evaluate data: Open response for other 
eval_stratart;Q13: Importance of strategies for evaluation and sensemaking: consult associated articles
eval_stratdoc;Q13: Importance of strategies for evaluation and sensemaking: consult data documentation
eval_stratcreatr;Q13: Importance of strategies for evaluation and sensemaking: consult data creator
eval_stratnetwk;Q13: Importance of strategies for evaluation and sensemaking: consult personal networks
eval_strateda;Q13: Importance of strategies for evaluation and sensemaking: exploratory data analysis
eval_stratopen;Q13_open: Importance of strategies for evaluation and sensemaking: open response for other
eval_trstuse;Q14: Importance in establishing trust: prior usage
eval_trstsource;Q14: Importance in establishing trust: reputation data source
eval_trstrepcreatr;Q14: Importance in establishing trust: reputation data creator
eval_trstmeth;Q14: Importance in establishing trust: transparency in methods
eval_trsterr;Q14: Importance in establishing trust: lack of errors
eval_trstaccs;Q14: Importance in establishing trust: ease of access
eval_trstrelcrtr;Q14: Importance in establishing trust: personal relationship with data creator
eval_trstopen;Q14_open: Importance in establishing trust: open response for other
eval_qualerr;Q15: Importance in establishing quality: lack of errors
eval_qualeda;Q15: Importance in establishing quality: ease of downloading and exploring
eval_qualsize;Q15: Importance in establishing quality: data size
eval_qualcomplt;Q15: Importance in establishing quality: data completeness
eval_qualsource;Q15: Importance in establishing quality: reputation data source
eval_qualresltn;Q15: Importance in establishing quality: resolution or clarity
eval_qualrepcreatr;Q15: Importance in establishing quality: reputation data creator
eval_qualprep;Q15: Importance in establishing quality: work done to prepare data
eval_qualcnsistnt;Q15: Importance in establishing quality: consistency of formatting
eval_qualopen;Q15_open: Importance in establishing quality: open response for other
disc_agricul;D1: Discipline of specialization: agriculture
disc_artshuman;D1: Discipline of specialization: arts and humanities
disc_astronom;D1: Discipline of specialization: astronomy
disc_biochem;D1: Discipline of specialization: biochemistry, genetics and molecular biology
disc_biological;D1: Discipline of specialization: biological sciences
disc_busin;D1: Discipline of specialization: business, management and accounting 
disc_chemeng;D1: Discipline of specialization: chemical engineering 
disc_chem;D1: Discipline of specialization: chemistry
disc_compsci;D1: Discipline of specialization: computer sciences or IT
disc_decisionsci;D1: Discipline of specialization: decision sciences
disc_dentist;D1: Discipline of specialization: dentistry
disc_earthplanet;D1: Discipline of specialization: earth and planetary sciences
disc_econ;D1: Discipline of specialization: economics, econometrics and finance 
disc_energy;D1: Discipline of specialization: energy
disc_engtech;D1: Discipline of specialization: engineering and technology
disc_environ;D1: Discipline of specialization: environmental sciences
disc_healthprof;D1: Discipline of specialization: health professions
disc_immun;D1: Discipline of specialization: immunology and microbiology 
disc_matlsci;D1: Discipline of specialization: materials science
disc_math;D1: Discipline of specialization: mathematics
disc_med;D1: Discipline of specialization: medicine
disc_multi;D1: Discipline of specialization: multidisciplinary
disc_neuro;D1: Discipline of specialization: neuroscience
disc_nurs;D1: Discipline of specialization: nursing
disc_pharma;D1: Discipline of specialization: pharmacology, toxicology and pharmaceutics 
disc_physics;D1: Discipline of specialization: physics
disc_psych;D1: Discipline of specialization: psychology
disc_socsci;D1: Discipline of specialization: social science
disc_vet;D1: Discipline of specialization: veterinary
disc_infosci;D1: Discipline of specialization: information science
disc_other;D1: Discipline of specialization: other
disc_othresp;D1: Discipline of specialization: response for other
dem_role;Q1: Role
dem_role_oth;Q1_other: Open response for other role
dem_exprnce;D2: Years of professional experience
dem_country;D3: Country of employment 
dem_org;D4: Type of organization where employed
dem_orgoth;D4_other: Open response for other type of organization
dem_sharself;D5: Personal feelings about data sharing
dem_shargrp;D5: Perception of work group's feelings about data sharing
dem_shardisc;D5: Perception of  disciplinary community's feelings about data sharing
dem_sharorg;D5: Perception of organization's feelings about data sharing
dem_reuseself;D6: Personal feelings about data reuse
dem_reusegrp;D6: Perception of work group's feelings about data reuse
dem_reusedisc;D6: Perception of disciplinary community's feelings about data reuse
dem_reuseorg;D6: Perception of organization's feelings about data reuse
dem_shared;D7: Have you shared your data
